date,product_name,quantity_sold,unit_price,total_sales,product_flavor,product_size
2024-03-01,Banana Yoghurt 500ml,1,1600,1600,Banana,500ml
2024-03-01,Plain Yoghurt 250ml,1,700,700,Plain,250ml
2024-03-01,Strawberry Yoghurt 250ml,3,800,2400,Strawberry,250ml
2024-03-01,Plain Yoghurt 250ml,1,700,700,Plain,250ml
2024-03-01,Strawberry Yoghurt 500ml,1,1600,1600,Strawberry,500ml
2024-03-01,Strawberry Yoghurt 250ml,3,800,2400,Strawberry,250ml
2024-03-01,Banana Yoghurt 500ml,4,1600,6400,Banana,500ml
2024-03-01,Plain Yoghurt 250ml,9,700,6300,Plain,250ml
2024-03-01,Pineapple Yoghurt 250ml,2,800,1600,Pineapple,250ml
2024-03-01,Banana Yoghurt 500ml,3,1600,4800,Banana,500ml
2024-03-01,Plain Yoghurt 500ml,1,1500,1500,Plain,500ml
2024-03-01,Strawberry Yoghurt 500ml,5,1600,8000,Strawberry,500ml
2024-03-01,Strawberry Yoghurt 250ml,1,800,800,Strawberry,250ml
2024-03-01,Coconut Yoghurt 250ml,1,800,800,Coconut,250ml
2024-03-01,Strawberry Yoghurt 500ml,1,1600,1600,Strawberry,500ml
2024-03-01,Pineapple Yoghurt 250ml,1,800,800,Pineapple,250ml
2024-03-01,Coconut Yoghurt 250ml,2,800,1600,Coconut,250ml
2024-03-01,Pineapple Yoghurt 500ml,1,1600,1600,Pineapple,500ml
2024-03-01,Coconut Yoghurt 500ml,1,1600,1600,Coconut,500ml
2024-03-01,Strawberry Yoghurt 250ml,1,800,800,Strawberry,250ml
2024-03-01,Coconut Yoghurt 250ml,1,800,800,Coconut,250ml
2024-03-01,Plain Yoghurt 500ml,2,1500,3000,Plain,500ml
2024-03-01,Plain Yoghurt 500ml,1,1500,1500,Plain,500ml
2024-03-01,Banana Yoghurt 500ml,1,1600,1600,Banana,500ml
2024-03-01,Banana Yoghurt 250ml,6,800,4800,Banana,250ml
2024-03-01,Coconut Yoghurt 250ml,5,800,4000,Coconut,250ml
2024-03-01,Plain Yoghurt 500ml,2,1500,3000,Plain,500ml
2024-03-01,Pineapple Yoghurt 250ml,1,800,800,Pineapple,250ml
2024-03-01,Strawberry Yoghurt 500ml,5,1600,8000,Strawberry,500ml
2024-03-01,Pineapple Yoghurt 500ml,1,1600,1600,Pineapple,500ml
2024-03-01,Pineapple Yoghurt 500ml,1,1600,1600,Pineapple,500ml
2024-03-01,Plain Yoghurt 250ml,1,700,700,Plain,250ml
2024-03-01,Strawberry Yoghurt 250ml,8,800,6400,Strawberry,250ml
2024-03-01,Banana Yoghurt 250ml,1,800,800,Banana,250ml
2024-03-01,Banana Yoghurt 250ml,2,800,1600,Banana,250ml
2024-03-01,Coconut Yoghurt 500ml,3,1600,4800,Coconut,500ml
2024-03-01,Plain Yoghurt 500ml,4,1500,6000,Plain,500ml
2024-03-01,Plain Yoghurt 250ml,4,700,2800,Plain,250ml
2024-03-04,Coconut Yoghurt 250ml,7,800,5600,Coconut,250ml
2024-03-04,Plain Yoghurt 250ml,10,700,7000,Plain,250ml
2024-03-04,Strawberry Yoghurt 250ml,8,800,6400,Strawberry,250ml
2024-03-04,Plain Yoghurt 250ml,14,700,9800,Plain,250ml
2024-03-04,Plain Yoghurt 500ml,8,1500,12000,Plain,500ml
2024-03-04,Strawberry Yoghurt 250ml,11,800,8800,Strawberry,250ml
2024-03-04,Pineapple Yoghurt 250ml,4,800,3200,Pineapple,250ml
2024-03-04,Coconut Yoghurt 500ml,5,1600,8000,Coconut,500ml
2024-03-04,Coconut Yoghurt 500ml,4,1600,6400,Coconut,500ml
2024-03-04,Strawberry Yoghurt 500ml,7,1600,11200,Strawberry,500ml
2024-03-04,Banana Yoghurt 250ml,9,800,7200,Banana,250ml
2024-03-04,Plain Yoghurt 500ml,6,1500,9000,Plain,500ml
2024-03-04,Banana Yoghurt 500ml,6,1600,9600,Banana,500ml
2024-03-04,Banana Yoghurt 250ml,7,800,5600,Banana,250ml
2024-03-04,Pineapple Yoghurt 500ml,3,1600,4800,Pineapple,500ml
2024-03-05,Banana Yoghurt 250ml,8,800,6400,Banana,250ml
2024-03-05,Coconut Yoghurt 500ml,5,1600,8000,Coconut,500ml
2024-03-05,Plain Yoghurt 500ml,7,1500,10500,Plain,500ml
2024-03-05,Strawberry Yoghurt 250ml,10,800,8000,Strawberry,250ml
2024-03-05,Plain Yoghurt 500ml,5,1500,7500,Plain,500ml
2024-03-05,Coconut Yoghurt 500ml,4,1600,6400,Coconut,500ml
2024-03-05,Banana Yoghurt 500ml,3,1600,4800,Banana,500ml
2024-03-05,Banana Yoghurt 250ml,6,800,4800,Banana,250ml
2024-03-05,Pineapple Yoghurt 250ml,3,800,2400,Pineapple,250ml
2024-03-05,Strawberry Yoghurt 500ml,3,1600,4800,Strawberry,500ml
2024-03-05,Pineapple Yoghurt 500ml,1,1600,1600,Pineapple,500ml
2024-03-05,Plain Yoghurt 250ml,7,700,4900,Plain,250ml
2024-03-05,Coconut Yoghurt 250ml,7,800,5600,Coconut,250ml
2024-03-05,Strawberry Yoghurt 250ml,6,800,4800,Strawberry,250ml
2024-03-05,Strawberry Yoghurt 500ml,7,1600,11200,Strawberry,500ml
2024-03-05,Plain Yoghurt 250ml,11,700,7700,Plain,250ml
2024-03-06,Pineapple Yoghurt 500ml,2,1600,3200,Pineapple,500ml
2024-03-06,Plain Yoghurt 500ml,7,1500,10500,Plain,500ml
2024-03-06,Coconut Yoghurt 250ml,6,800,4800,Coconut,250ml
2024-03-06,Banana Yoghurt 500ml,5,1600,8000,Banana,500ml
2024-03-06,Banana Yoghurt 250ml,8,800,6400,Banana,250ml
2024-03-06,Plain Yoghurt 500ml,5,1500,7500,Plain,500ml
2024-03-06,Plain Yoghurt 250ml,14,700,9800,Plain,250ml
2024-03-06,Strawberry Yoghurt 500ml,4,1600,6400,Strawberry,500ml
2024-03-06,Pineapple Yoghurt 250ml,2,800,1600,Pineapple,250ml
2024-03-06,Strawberry Yoghurt 500ml,6,1600,9600,Strawberry,500ml
2024-03-06,Plain Yoghurt 250ml,12,700,8400,Plain,250ml
2024-03-06,Coconut Yoghurt 500ml,7,1600,11200,Coconut,500ml
2024-03-06,Coconut Yoghurt 250ml,7,800,5600,Coconut,250ml
2024-03-06,Banana Yoghurt 250ml,6,800,4800,Banana,250ml
2024-03-06,Strawberry Yoghurt 250ml,10,800,8000,Strawberry,250ml
2024-03-06,Pineapple Yoghurt 500ml,2,1600,3200,Pineapple,500ml
2024-03-07,Pineapple Yoghurt 500ml,3,1600,4800,Pineapple,500ml
2024-03-07,Strawberry Yoghurt 500ml,6,1600,9600,Strawberry,500ml
2024-03-07,Banana Yoghurt 500ml,6,1600,9600,Banana,500ml
2024-03-07,Banana Yoghurt 250ml,9,800,7200,Banana,250ml
2024-03-07,Plain Yoghurt 250ml,11,700,7700,Plain,250ml
2024-03-07,Coconut Yoghurt 250ml,8,800,6400,Coconut,250ml
2024-03-07,Plain Yoghurt 500ml,7,1500,10500,Plain,500ml
2024-03-07,Pineapple Yoghurt 250ml,4,800,3200,Pineapple,250ml
2024-03-07,Strawberry Yoghurt 250ml,8,800,6400,Strawberry,250ml
2024-03-07,Banana Yoghurt 500ml,7,1600,11200,Banana,500ml
2024-03-07,Plain Yoghurt 250ml,13,700,9100,Plain,250ml
2024-03-07,Plain Yoghurt 500ml,7,1500,10500,Plain,500ml
2024-03-07,Coconut Yoghurt 500ml,5,1600,8000,Coconut,500ml
2024-03-07,Strawberry Yoghurt 250ml,9,800,7200,Strawberry,250ml
2024-03-07,Coconut Yoghurt 250ml,7,800,5600,Coconut,250ml
2024-03-12,Pineapple Yoghurt 250ml,2,800,1600,Pineapple,250ml
2024-03-12,Plain Yoghurt 500ml,9,1500,13500,Plain,500ml
2024-03-12,Plain Yoghurt 250ml,12,700,8400,Plain,250ml
2024-03-12,Strawberry Yoghurt 250ml,10,800,8000,Strawberry,250ml
2024-03-12,Banana Yoghurt 500ml,5,1600,8000,Banana,500ml
2024-03-12,Strawberry Yoghurt 500ml,6,1600,9600,Strawberry,500ml
2024-03-12,Strawberry Yoghurt 250ml,6,800,4800,Strawberry,250ml
2024-03-12,Pineapple Yoghurt 500ml,1,1600,1600,Pineapple,500ml
2024-03-12,Plain Yoghurt 250ml,10,700,7000,Plain,250ml
2024-03-12,Coconut Yoghurt 250ml,7,800,5600,Coconut,250ml
2024-03-12,Banana Yoghurt 250ml,8,800,6400,Banana,250ml
2024-03-12,Plain Yoghurt 500ml,5,1500,7500,Plain,500ml
2024-03-12,Strawberry Yoghurt 500ml,4,1600,6400,Strawberry,500ml
2024-03-12,Pineapple Yoghurt 250ml,3,800,2400,Pineapple,250ml
2024-03-12,Banana Yoghurt 250ml,6,800,4800,Banana,250ml
2024-03-12,Coconut Yoghurt 500ml,4,1600,6400,Coconut,500ml
2024-03-12,Coconut Yoghurt 500ml,5,1600,8000,Coconut,500ml
2024-03-13,Banana Yoghurt 250ml,8,800,6400,Banana,250ml
2024-03-13,Strawberry Yoghurt 500ml,5,1600,8000,Strawberry,500ml
2024-03-13,Banana Yoghurt 500ml,5,1600,8000,Banana,500ml
2024-03-13,Strawberry Yoghurt 500ml,6,1600,9600,Strawberry,500ml
2024-03-13,Pineapple Yoghurt 250ml,3,800,2400,Pineapple,250ml
2024-03-13,Plain Yoghurt 500ml,6,1500,9000,Plain,500ml
2024-03-13,Coconut Yoghurt 250ml,5,800,4000,Coconut,250ml
2024-03-13,Plain Yoghurt 250ml,10,700,7000,Plain,250ml
2024-03-13,Plain Yoghurt 500ml,7,1500,10500,Plain,500ml
2024-03-13,Coconut Yoghurt 250ml,7,800,5600,Coconut,250ml
2024-03-13,Pineapple Yoghurt 500ml,1,1600,1600,Pineapple,500ml
2024-03-13,Plain Yoghurt 250ml,13,700,9100,Plain,250ml
