date,product_name,quantity_produced,product_flavor,product_size
2024-03-01,Plain Yoghurt 500ml,40,Plain,500ml
2024-03-01,Strawberry Yoghurt 500ml,35,Strawberry,500ml
2024-03-01,Banana Yoghurt 500ml,25,Banana,500ml
2024-03-01,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-03-01,Pineapple Yoghurt 500ml,15,Pineapple,500ml
2024-03-01,Plain Yoghurt 250ml,58,Plain,250ml
2024-03-01,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-03-01,Banana Yoghurt 250ml,40,Banana,250ml
2024-03-01,Coconut Yoghurt 500ml,35,Coconut,500ml
2024-03-01,Pineapple Yoghurt 250ml,18,Pineapple,250ml
2024-03-04,Plain Yoghurt 500ml,38,Plain,500ml
2024-03-04,Strawberry Yoghurt 500ml,32,Strawberry,500ml
2024-03-04,Banana Yoghurt 500ml,22,Banana,500ml
2024-03-04,Coconut Yoghurt 500ml,20,Coconut,500ml
2024-03-04,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-03-04,Plain Yoghurt 250ml,55,Plain,250ml
2024-03-04,Strawberry Yoghurt 250ml,48,Strawberry,250ml
2024-03-04,Banana Yoghurt 250ml,38,Banana,250ml
2024-03-04,Coconut Yoghurt 250ml,32,Coconut,250ml
2024-03-04,Pineapple Yoghurt 250ml,15,Pineapple,250ml
2024-03-07,Plain Yoghurt 500ml,42,Plain,500ml
2024-03-07,Strawberry Yoghurt 500ml,36,Strawberry,500ml
2024-03-07,Banana Yoghurt 500ml,26,Banana,500ml
2024-03-07,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-03-07,Pineapple Yoghurt 500ml,15,Pineapple,500ml
2024-03-07,Plain Yoghurt 250ml,58,Plain,250ml
2024-03-07,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-03-07,Banana Yoghurt 250ml,42,Banana,250ml
2024-03-07,Coconut Yoghurt 250ml,36,Coconut,250ml
2024-03-07,Pineapple Yoghurt 250ml,20,Pineapple,250ml
2024-03-11,Plain Yoghurt 500ml,40,Plain,500ml
2024-03-11,Strawberry Yoghurt 500ml,35,Strawberry,500ml
2024-03-11,Banana Yoghurt 500ml,25,Banana,500ml
2024-03-11,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-03-11,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-03-11,Plain Yoghurt 250ml,58,Plain,250ml
2024-03-11,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-03-11,Banana Yoghurt 250ml,40,Banana,250ml
2024-03-11,Coconut Yoghurt 250ml,35,Coconut,250ml
2024-03-11,Pineapple Yoghurt 250ml,18,Pineapple,250ml
2024-03-14,Plain Yoghurt 500ml,38,Plain,500ml
2024-03-14,Strawberry Yoghurt 500ml,32,Strawberry,500ml
2024-03-14,Banana Yoghurt 500ml,22,Banana,500ml
2024-03-14,Coconut Yoghurt 500ml,20,Coconut,500ml
2024-03-14,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-03-14,Plain Yoghurt 250ml,55,Plain,250ml
2024-03-14,Strawberry Yoghurt 250ml,48,Strawberry,250ml
2024-03-14,Banana Yoghurt 250ml,38,Banana,250ml
2024-03-14,Coconut Yoghurt 250ml,32,Coconut,250ml
2024-03-14,Pineapple Yoghurt 250ml,15,Pineapple,250ml
2024-03-18,Plain Yoghurt 500ml,42,Plain,500ml
2024-03-18,Strawberry Yoghurt 500ml,36,Strawberry,500ml
2024-03-18,Banana Yoghurt 500ml,26,Banana,500ml
2024-03-18,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-03-18,Pineapple Yoghurt 500ml,15,Pineapple,500ml
2024-03-18,Plain Yoghurt 250ml,58,Plain,250ml
2024-03-18,Strawberry Yoghurt 250ml,52,Strawberry,250ml
2024-03-18,Banana Yoghurt 250ml,42,Banana,250ml
2024-03-18,Coconut Yoghurt 250ml,36,Coconut,250ml
2024-03-18,Pineapple Yoghurt 250ml,20,Pineapple,250ml
2024-03-21,Plain Yoghurt 500ml,40,Plain,500ml
2024-03-21,Strawberry Yoghurt 500ml,35,Strawberry,500ml
2024-03-21,Banana Yoghurt 500ml,25,Banana,500ml
2024-03-21,Coconut Yoghurt 500ml,22,Coconut,500ml
2024-03-21,Pineapple Yoghurt 500ml,12,Pineapple,500ml
2024-03-21,Plain Yoghurt 250ml,58,Plain,250ml
2024-03-21,Strawberry Yoghurt 250ml,52,Strawberry,250ml
